DataSource,Area,DatasetType,Period,Season,VariableName,VariableUnit,VariableValue
ODAT,01. SOLWAY                     ,Dataset Average,1971-2016,Wi,sea surface temperature,°C,7.5
ODAT,01. SOLWAY                     ,Dataset Average,1971-2016,Sp,sea surface temperature,°C,8.6
ODAT,01. SOLWAY                     ,Dataset Average,1971-2016,Su,sea surface temperature,°C,13
ODAT,01. SOLWAY                     ,Dataset Average,1971-2016,Au,sea surface temperature,°C,11.2
ODAT,02. CLYDE                      ,Dataset Average,1971-2016,Wi,sea surface temperature,°C,7.3
ODAT,02. CLYDE                      ,Dataset Average,1971-2016,Sp,sea surface temperature,°C,8.9
ODAT,02. CLYDE                      ,Dataset Average,1971-2016,Su,sea surface temperature,°C,12.7
ODAT,02. CLYDE                      ,Dataset Average,1971-2016,Au,sea surface temperature,°C,11
ODAT,03. ARGYLL                     ,Dataset Average,1971-2016,Wi,sea surface temperature,°C,8.2
ODAT,03. ARGYLL                     ,Dataset Average,1971-2016,Sp,sea surface temperature,°C,9.4
ODAT,03. ARGYLL                     ,Dataset Average,1971-2016,Su,sea surface temperature,°C,13.2
ODAT,03. ARGYLL                     ,Dataset Average,1971-2016,Au,sea surface temperature,°C,11.8
ODAT,04. WEST HIGHLANDS             ,Dataset Average,1971-2016,Wi,sea surface temperature,°C,8
ODAT,04. WEST HIGHLANDS             ,Dataset Average,1971-2016,Sp,sea surface temperature,°C,9.1
ODAT,04. WEST HIGHLANDS             ,Dataset Average,1971-2016,Su,sea surface temperature,°C,12.7
ODAT,04. WEST HIGHLANDS             ,Dataset Average,1971-2016,Au,sea surface temperature,°C,11.5
ODAT,05. OUTER HEBRIDES             ,Dataset Average,1971-2016,Wi,sea surface temperature,°C,8.3
ODAT,05. OUTER HEBRIDES             ,Dataset Average,1971-2016,Sp,sea surface temperature,°C,9.6
ODAT,05. OUTER HEBRIDES             ,Dataset Average,1971-2016,Su,sea surface temperature,°C,12.8
ODAT,05. OUTER HEBRIDES             ,Dataset Average,1971-2016,Au,sea surface temperature,°C,11.3
ODAT,06. NORTH COAST                ,Dataset Average,1971-2016,Wi,sea surface temperature,°C,7.8
ODAT,06. NORTH COAST                ,Dataset Average,1971-2016,Sp,sea surface temperature,°C,8.6
ODAT,06. NORTH COAST                ,Dataset Average,1971-2016,Su,sea surface temperature,°C,12.2
ODAT,06. NORTH COAST                ,Dataset Average,1971-2016,Au,sea surface temperature,°C,11.2
ODAT,07. ORKNEY ISLANDS             ,Dataset Average,1971-2016,Wi,sea surface temperature,°C,7.4
ODAT,07. ORKNEY ISLANDS             ,Dataset Average,1971-2016,Sp,sea surface temperature,°C,8.6
ODAT,07. ORKNEY ISLANDS             ,Dataset Average,1971-2016,Su,sea surface temperature,°C,12.1
ODAT,07. ORKNEY ISLANDS             ,Dataset Average,1971-2016,Au,sea surface temperature,°C,10.7
ODAT,08. SHETLAND ISLES             ,Dataset Average,1971-2016,Wi,sea surface temperature,°C,7.8
ODAT,08. SHETLAND ISLES             ,Dataset Average,1971-2016,Sp,sea surface temperature,°C,8.8
ODAT,08. SHETLAND ISLES             ,Dataset Average,1971-2016,Su,sea surface temperature,°C,11.9
ODAT,08. SHETLAND ISLES             ,Dataset Average,1971-2016,Au,sea surface temperature,°C,10.2
ODAT,09. MORAY FIRTH                ,Dataset Average,1971-2016,Wi,sea surface temperature,°C,6.2
ODAT,09. MORAY FIRTH                ,Dataset Average,1971-2016,Sp,sea surface temperature,°C,9.1
ODAT,09. MORAY FIRTH                ,Dataset Average,1971-2016,Su,sea surface temperature,°C,12.8
ODAT,09. MORAY FIRTH                ,Dataset Average,1971-2016,Au,sea surface temperature,°C,10.1
ODAT,10. NORTH EAST                 ,Dataset Average,1971-2016,Wi,sea surface temperature,°C,6.3
ODAT,10. NORTH EAST                 ,Dataset Average,1971-2016,Sp,sea surface temperature,°C,8.3
ODAT,10. NORTH EAST                 ,Dataset Average,1971-2016,Su,sea surface temperature,°C,12.6
ODAT,10. NORTH EAST                 ,Dataset Average,1971-2016,Au,sea surface temperature,°C,10.6
ODAT,11. FORTH AND TAY              ,Dataset Average,1971-2016,Wi,sea surface temperature,°C,6.2
ODAT,11. FORTH AND TAY              ,Dataset Average,1971-2016,Sp,sea surface temperature,°C,8.5
ODAT,11. FORTH AND TAY              ,Dataset Average,1971-2016,Su,sea surface temperature,°C,13.2
ODAT,11. FORTH AND TAY              ,Dataset Average,1971-2016,Au,sea surface temperature,°C,10.1
ODAT,01. SOLWAY                     ,Climatological Average,1981-2010,Wi,sea surface temperature,°C,-99
ODAT,01. SOLWAY                     ,Climatological Average,1981-2010,Sp,sea surface temperature,°C,8.6
ODAT,01. SOLWAY                     ,Climatological Average,1981-2010,Su,sea surface temperature,°C,-99
ODAT,01. SOLWAY                     ,Climatological Average,1981-2010,Au,sea surface temperature,°C,-99
ODAT,02. CLYDE                      ,Climatological Average,1981-2010,Wi,sea surface temperature,°C,-99
ODAT,02. CLYDE                      ,Climatological Average,1981-2010,Sp,sea surface temperature,°C,8.9
ODAT,02. CLYDE                      ,Climatological Average,1981-2010,Su,sea surface temperature,°C,-99
ODAT,02. CLYDE                      ,Climatological Average,1981-2010,Au,sea surface temperature,°C,11.2
ODAT,03. ARGYLL                     ,Climatological Average,1981-2010,Wi,sea surface temperature,°C,8.2
ODAT,03. ARGYLL                     ,Climatological Average,1981-2010,Sp,sea surface temperature,°C,9.4
ODAT,03. ARGYLL                     ,Climatological Average,1981-2010,Su,sea surface temperature,°C,13.3
ODAT,03. ARGYLL                     ,Climatological Average,1981-2010,Au,sea surface temperature,°C,11.7
ODAT,04. WEST HIGHLANDS             ,Climatological Average,1981-2010,Wi,sea surface temperature,°C,8.1
ODAT,04. WEST HIGHLANDS             ,Climatological Average,1981-2010,Sp,sea surface temperature,°C,9.1
ODAT,04. WEST HIGHLANDS             ,Climatological Average,1981-2010,Su,sea surface temperature,°C,12.8
ODAT,04. WEST HIGHLANDS             ,Climatological Average,1981-2010,Au,sea surface temperature,°C,11.4
ODAT,05. OUTER HEBRIDES             ,Climatological Average,1981-2010,Wi,sea surface temperature,°C,8.3
ODAT,05. OUTER HEBRIDES             ,Climatological Average,1981-2010,Sp,sea surface temperature,°C,9.6
ODAT,05. OUTER HEBRIDES             ,Climatological Average,1981-2010,Su,sea surface temperature,°C,13
ODAT,05. OUTER HEBRIDES             ,Climatological Average,1981-2010,Au,sea surface temperature,°C,11.3
ODAT,06. NORTH COAST                ,Climatological Average,1981-2010,Wi,sea surface temperature,°C,-99
ODAT,06. NORTH COAST                ,Climatological Average,1981-2010,Sp,sea surface temperature,°C,-99
ODAT,06. NORTH COAST                ,Climatological Average,1981-2010,Su,sea surface temperature,°C,-99
ODAT,06. NORTH COAST                ,Climatological Average,1981-2010,Au,sea surface temperature,°C,-99
ODAT,07. ORKNEY ISLANDS             ,Climatological Average,1981-2010,Wi,sea surface temperature,°C,7.4
